words,sentences,hard_words,fog
56,6,16,15.16
49,4,13,15.51
47,5,15,16.53
41,4,9,12.88
67,7,21,16.37
70,7,22,16.57
43,4,11,14.53
48,5,21,21.34
42,4,9,12.77
54,6,24,21.38
64,6,26,20.52
33,4,10,15.42
30,4,6,11
27,3,9,16.93
81,7,28,18.46
42,5,24,26.22
36,4,13,18.04
90,6,27,18
54,4,17,17.99
85,7,30,18.97
34,3,12,18.65
26,3,14,25.01
72,6,30,21.47
76,7,27,18.55
28,3,14,23.73
48,3,17,20.57
43,5,12,14.6
26,2,11,22.12
47,4,18,20.02
47,5,18,19.08
68,7,19,15.06
33,4,10,15.42
42,4,12,15.63
21,2,5,13.72
43,3,14,18.76
36,4,15,20.27
40,3,12,17.33
31,3,12,19.62
53,4,14,15.87
27,3,10,18.41
62,6,17,15.1
44,4,15,18.04
63,5,26,21.55
66,7,8,20.74
37,3,11,16.83
51,5,18,18.2
48,4,20,21.23
102,8,26,15.3
31,3,9,15.75
49,4,17,18.78
51,5,17,17.41
28,3,10,18.02
72,7,29,20.23
65,5,21,18.12
